model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.1,0.5992296277975557
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.15,0.6983454036894986
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.2,0.7115308488745635
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.25,0.7734686941751361
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.3,0.8036930493693561
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.35,0.8429102300942686
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.4,0.8938480859093729
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.45,0.9168182000027791
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.5,0.9630211374122188
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.55,1.0012524972459043
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.6,1.0334380860140215
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.65,1.0856016070696173
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.7,1.1563465667526165
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.75,1.3076164623160793
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.8,1.4142541430160676
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.85,1.4864093896708086
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.9,1.6910905232401678
